grain_week,crop_year,week_ending_date,worksheet,metric,period,grain,grade,region,Ktonnes
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,No.2 CW RW,Churchill,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,No.2 CW RW,Thunder Bay,0.3
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,No.2 CW RW,Bay & Lakes,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,No.2 CW RW,St. Lawrence,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,No.3 CW RW,Vancouver,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,No.3 CW RW,Prince Rupert,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,No.3 CW RW,Churchill,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,No.3 CW RW,Thunder Bay,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,No.3 CW RW,Bay & Lakes,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,No.3 CW RW,St. Lawrence,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,No.2 CW HWS,Vancouver,0.1
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,No.2 CW HWS,Prince Rupert,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,No.2 CW HWS,Churchill,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,No.2 CW HWS,Thunder Bay,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,No.2 CW HWS,Bay & Lakes,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,No.2 CW HWS,St. Lawrence,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,No.1 CNHR,Vancouver,1.1
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,No.1 CNHR,Prince Rupert,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,No.1 CNHR,Churchill,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,No.1 CNHR,Thunder Bay,4.5
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,No.1 CNHR,Bay & Lakes,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,No.1 CNHR,St. Lawrence,0.1
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,No.2 CNHR,Vancouver,1.4
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,No.2 CNHR,Prince Rupert,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,No.2 CNHR,Churchill,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,No.2 CNHR,Thunder Bay,0.6
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,No.2 CNHR,Bay & Lakes,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,No.2 CNHR,St. Lawrence,0
