grain_week,crop_year,week_ending_date,worksheet,metric,period,grain,grade,region,Ktonnes
1,2023-2024,06/08/2023,Feed Grains Shipment Distribution,Feed Grain Shipment Distribution,Current Week,Chick Peas,,Eastern Terminals,0
1,2023-2024,06/08/2023,Feed Grains Shipment Distribution,Feed Grain Shipment Distribution,Current Week,Chick Peas,,Export Destinations,0
1,2023-2024,06/08/2023,Feed Grains Shipment Distribution,Feed Grain Shipment Distribution,Crop Year,Wheat,,Canadian Domestic,1.7
1,2023-2024,06/08/2023,Feed Grains Shipment Distribution,Feed Grain Shipment Distribution,Crop Year,Wheat,,Process Elevators,0
1,2023-2024,06/08/2023,Feed Grains Shipment Distribution,Feed Grain Shipment Distribution,Crop Year,Wheat,,Pacific,2.1
1,2023-2024,06/08/2023,Feed Grains Shipment Distribution,Feed Grain Shipment Distribution,Crop Year,Wheat,,Churchill,0
1,2023-2024,06/08/2023,Feed Grains Shipment Distribution,Feed Grain Shipment Distribution,Crop Year,Wheat,,Thunder Bay,0.5
1,2023-2024,06/08/2023,Feed Grains Shipment Distribution,Feed Grain Shipment Distribution,Crop Year,Wheat,,Eastern Terminals,0
1,2023-2024,06/08/2023,Feed Grains Shipment Distribution,Feed Grain Shipment Distribution,Crop Year,Wheat,,Export Destinations,0
1,2023-2024,06/08/2023,Feed Grains Shipment Distribution,Feed Grain Shipment Distribution,Crop Year,Barley,,Canadian Domestic,4.0
1,2023-2024,06/08/2023,Feed Grains Shipment Distribution,Feed Grain Shipment Distribution,Crop Year,Barley,,Process Elevators,0
1,2023-2024,06/08/2023,Feed Grains Shipment Distribution,Feed Grain Shipment Distribution,Crop Year,Barley,,Pacific,0
1,2023-2024,06/08/2023,Feed Grains Shipment Distribution,Feed Grain Shipment Distribution,Crop Year,Barley,,Churchill,0
1,2023-2024,06/08/2023,Feed Grains Shipment Distribution,Feed Grain Shipment Distribution,Crop Year,Barley,,Thunder Bay,0
1,2023-2024,06/08/2023,Feed Grains Shipment Distribution,Feed Grain Shipment Distribution,Crop Year,Barley,,Eastern Terminals,0
1,2023-2024,06/08/2023,Feed Grains Shipment Distribution,Feed Grain Shipment Distribution,Crop Year,Barley,,Export Destinations,0
1,2023-2024,06/08/2023,Feed Grains Shipment Distribution,Feed Grain Shipment Distribution,Crop Year,Peas,,Canadian Domestic,0
1,2023-2024,06/08/2023,Feed Grains Shipment Distribution,Feed Grain Shipment Distribution,Crop Year,Peas,,Process Elevators,0
1,2023-2024,06/08/2023,Feed Grains Shipment Distribution,Feed Grain Shipment Distribution,Crop Year,Peas,,Pacific,0
1,2023-2024,06/08/2023,Feed Grains Shipment Distribution,Feed Grain Shipment Distribution,Crop Year,Peas,,Churchill,0
1,2023-2024,06/08/2023,Feed Grains Shipment Distribution,Feed Grain Shipment Distribution,Crop Year,Peas,,Thunder Bay,0
1,2023-2024,06/08/2023,Feed Grains Shipment Distribution,Feed Grain Shipment Distribution,Crop Year,Peas,,Eastern Terminals,0
1,2023-2024,06/08/2023,Feed Grains Shipment Distribution,Feed Grain Shipment Distribution,Crop Year,Peas,,Export Destinations,0
1,2023-2024,06/08/2023,Feed Grains Shipment Distribution,Feed Grain Shipment Distribution,Crop Year,Chick Peas,,Canadian Domestic,0
1,2023-2024,06/08/2023,Feed Grains Shipment Distribution,Feed Grain Shipment Distribution,Crop Year,Chick Peas,,Process Elevators,0
1,2023-2024,06/08/2023,Feed Grains Shipment Distribution,Feed Grain Shipment Distribution,Crop Year,Chick Peas,,Pacific,0
1,2023-2024,06/08/2023,Feed Grains Shipment Distribution,Feed Grain Shipment Distribution,Crop Year,Chick Peas,,Churchill,0
1,2023-2024,06/08/2023,Feed Grains Shipment Distribution,Feed Grain Shipment Distribution,Crop Year,Chick Peas,,Thunder Bay,0
1,2023-2024,06/08/2023,Feed Grains Shipment Distribution,Feed Grain Shipment Distribution,Crop Year,Chick Peas,,Eastern Terminals,0
1,2023-2024,06/08/2023,Feed Grains Shipment Distribution,Feed Grain Shipment Distribution,Crop Year,Chick Peas,,Export Destinations,0
1,2023-2024,06/08/2023,Imported Grains,Processed,Current Week,U.S. Corn,,Primary Elevators,0
1,2023-2024,06/08/2023,Imported Grains,Processed,Current Week,U.S. Corn,,Process Elevators,1.790
1,2023-2024,06/08/2023,Imported Grains,Processed,Current Week,U.S. Corn,,Vancouver,0
1,2023-2024,06/08/2023,Imported Grains,Processed,Current Week,U.S. Corn,,Prince Rupert,0
1,2023-2024,06/08/2023,Imported Grains,Processed,Current Week,U.S. Corn,,Churchill,0
1,2023-2024,06/08/2023,Imported Grains,Processed,Current Week,U.S. Corn,,Thunder Bay,0
1,2023-2024,06/08/2023,Imported Grains,Processed,Current Week,U.S. Corn,,Bay & Lakes,0
