"REF_DATE","GEO","DGUID","Supply and disposition","Products","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021-03","Canada","2016A000011124","Production","Renewable fuel plant co-products, total","Metric tonnes","214","units","0","v1277885592","1.4.8","115455","","","","0"
"2021-03","Canada","2016A000011124","Production","Distillers grains, total","Metric tonnes","214","units","0","v1277885598","1.4.9","105454","","","","0"
"2021-03","Canada","2016A000011124","Production","Renewable fuel plant co-products except distillers grains","Metric tonnes","214","units","0","v1277885556","1.4.10","10001","","","","0"
"2021-03","Canada","2016A000011124","Shipments","Renewable fuels, total","Cubic metres","72","units","0","v1277885577","1.5.5","173666","","","","0"
"2021-03","Canada","2016A000011124","Shipments","Fuel ethanol","Cubic metres","72","units","0","v1277885582","1.5.6","135436","","","","0"
"2021-03","Canada","2016A000011124","Shipments","Renewable fuels except fuel ethanol","Cubic metres","72","units","0","v1277885587","1.5.7","38230","","","","0"
"2021-03","Canada","2016A000011124","Shipments","Renewable fuel plant co-products, total","Metric tonnes","214","units","0","v1277885593","1.5.8","117414","","","","0"
"2021-03","Canada","2016A000011124","Shipments","Distillers grains, total","Metric tonnes","214","units","0","v1277885599","1.5.9","105657","","","","0"
"2021-03","Canada","2016A000011124","Shipments","Renewable fuel plant co-products except distillers grains","Metric tonnes","214","units","0","v1277885557","1.5.10","11757","","","","0"
"2021-03","Canada","2016A000011124","Losses and adjustments","Renewable fuel plant feedstocks, total","Metric tonnes","214","units","0","v1277885552","1.6.1","174","","","","0"
"2021-03","Canada","2016A000011124","Losses and adjustments","Cereal grains, total","Metric tonnes","214","units","0","v1277885563","1.6.2","192","","","","0"
"2021-03","Canada","2016A000011124","Losses and adjustments","Vegetable oils, total","Metric tonnes","214","units","0","v1277885568","1.6.3","-3","","","","0"
"2021-03","Canada","2016A000011124","Losses and adjustments","Other renewable fuel plant feedstocks, total","Metric tonnes","214","units","0","v1277885573","1.6.4","-15","","","","0"
"2021-03","Canada","2016A000011124","Losses and adjustments","Renewable fuels, total","Cubic metres","72","units","0","v1277885578","1.6.5","79","","","","0"
"2021-03","Canada","2016A000011124","Losses and adjustments","Fuel ethanol","Cubic metres","72","units","0","v1277885583","1.6.6","60","","","","0"
"2021-03","Canada","2016A000011124","Losses and adjustments","Renewable fuels except fuel ethanol","Cubic metres","72","units","0","v1277885588","1.6.7","19","","","","0"
"2021-03","Canada","2016A000011124","Losses and adjustments","Renewable fuel plant co-products, total","Metric tonnes","214","units","0","v1277885594","1.6.8","-584","","","","0"
"2021-03","Canada","2016A000011124","Losses and adjustments","Distillers grains, total","Metric tonnes","214","units","0","v1277885600","1.6.9","-192","","","","0"
"2021-03","Canada","2016A000011124","Losses and adjustments","Renewable fuel plant co-products except distillers grains","Metric tonnes","214","units","0","v1277885558","1.6.10","-392","","","","0"
"2021-03","Canada","2016A000011124","Ending stocks","Renewable fuel plant feedstocks, total","Metric tonnes","214","units","0","v1277885553","1.7.1","121477","","","","0"
"2021-03","Canada","2016A000011124","Ending stocks","Cereal grains, total","Metric tonnes","214","units","0","v1277885564","1.7.2","117642","","","","0"
"2021-03","Canada","2016A000011124","Ending stocks","Vegetable oils, total","Metric tonnes","214","units","0","v1277885569","1.7.3","764","","","","0"
